,t,ml,mr,sl,sr,p,i,d
0,250438,35.56,44.44,361.00,411.00,1.75,0.00,0.00
1,250444,35.56,44.44,361.00,411.00,1.75,0.00,0.00
2,250450,35.56,44.44,361.00,411.00,1.75,0.00,0.00
3,250458,35.56,44.44,361.00,411.00,1.75,0.00,0.00
4,250465,35.64,44.36,362.00,411.00,1.75,0.00,0.00
5,250472,35.82,44.18,363.00,410.00,1.75,0.00,0.00
6,250478,36.18,43.82,361.00,404.00,1.75,0.00,0.00
7,250485,35.20,44.80,358.00,412.00,1.75,0.00,0.00
8,250492,35.73,44.27,348.00,396.00,1.75,0.00,0.00
9,250499,35.91,44.09,354.00,400.00,1.75,0.00,0.00
10,250506,35.64,44.36,348.00,397.00,1.75,0.00,0.00
11,250513,34.31,45.69,333.00,397.00,1.75,0.00,0.00
12,250520,34.93,45.07,343.00,400.00,1.75,0.00,0.00
13,250526,36.89,43.11,346.00,381.00,1.75,0.00,0.00
14,250533,37.16,42.84,349.00,381.00,1.75,0.00,0.00
15,250541,37.24,42.76,353.00,384.00,1.75,0.00,0.00
16,250548,38.84,41.16,374.00,387.00,1.75,0.00,0.00
17,250554,39.73,40.27,394.00,397.00,1.75,0.00,0.00
18,250561,41.24,38.76,413.00,399.00,1.75,0.00,0.00
19,250568,40.09,39.91,416.00,415.00,1.75,0.00,0.00
20,250574,38.93,41.07,429.00,441.00,1.75,0.00,0.00
21,250582,34.67,45.33,391.00,451.00,1.75,0.00,0.00
22,250589,31.64,48.36,352.00,446.00,1.75,0.00,0.00
23,250596,25.60,54.40,351.00,513.00,1.75,0.00,0.00
24,250603,23.11,56.89,346.00,536.00,1.75,0.00,0.00
25,250609,19.55,60.45,337.00,567.00,1.75,0.00,0.00
26,250616,16.89,63.11,351.00,611.00,1.75,0.00,0.00
27,250624,18.22,61.78,348.00,593.00,1.75,0.00,0.00
28,250631,12.62,67.38,347.00,655.00,1.75,0.00,0.00
29,250638,14.31,65.69,329.00,618.00,1.75,0.00,0.00
30,250645,11.29,68.71,323.00,646.00,1.75,0.00,0.00
31,250651,12.09,67.91,330.00,644.00,1.75,0.00,0.00
32,250658,13.51,66.49,340.00,638.00,1.75,0.00,0.00
33,250665,16.17,63.83,355.00,623.00,1.75,0.00,0.00
34,250673,19.73,60.27,377.00,605.00,1.75,0.00,0.00
35,250680,21.42,58.58,376.00,585.00,1.75,0.00,0.00
36,250686,19.38,60.62,375.00,607.00,1.75,0.00,0.00
37,250693,24.35,55.65,384.00,560.00,1.75,0.00,0.00
38,250700,29.42,50.58,376.00,495.00,1.75,0.00,0.00
39,250707,36.18,43.82,393.00,436.00,1.75,0.00,0.00
40,250714,35.64,44.36,364.00,413.00,1.75,0.00,0.00
41,250721,31.55,48.45,327.00,422.00,1.75,0.00,0.00
42,250728,30.58,49.42,297.00,403.00,1.75,0.00,0.00
43,250735,30.75,49.25,292.00,396.00,1.75,0.00,0.00
44,250742,30.75,49.25,257.00,361.00,1.75,0.00,0.00
45,250748,34.22,45.78,264.00,329.00,1.75,0.00,0.00
46,250756,40.00,40.00,292.00,292.00,1.75,0.00,0.00
47,250763,41.96,38.04,289.00,267.00,1.75,0.00,0.00
48,250770,44.53,35.47,291.00,240.00,1.75,0.00,0.00
49,250777,45.60,34.40,299.00,236.00,1.75,0.00,0.00
50,250783,43.38,36.62,315.00,277.00,1.75,0.00,0.00
51,250790,39.02,40.98,323.00,334.00,1.75,0.00,0.00
52,250798,39.38,40.62,345.00,352.00,1.75,0.00,0.00
53,250805,40.27,39.73,381.00,378.00,1.75,0.00,0.00
54,250811,33.87,46.13,389.00,458.00,1.75,0.00,0.00
55,250818,36.71,43.29,389.00,426.00,1.75,0.00,0.00
56,250825,42.22,37.78,369.00,344.00,1.75,0.00,0.00
57,250832,40.00,40.00,352.00,352.00,1.75,0.00,0.00
58,250839,40.44,39.56,335.00,330.00,1.75,0.00,0.00
59,250846,42.93,37.07,331.00,298.00,1.75,0.00,0.00
60,250853,42.49,37.51,331.00,303.00,1.75,0.00,0.00
61,250860,43.47,36.53,334.00,295.00,1.75,0.00,0.00
62,250867,47.38,32.62,362.00,279.00,1.75,0.00,0.00
63,250873,48.53,31.47,392.00,296.00,1.75,0.00,0.00
64,250881,50.85,29.15,420.00,298.00,1.75,0.00,0.00
65,250888,48.18,31.82,415.00,323.00,1.75,0.00,0.00
66,250895,46.05,33.95,408.00,340.00,1.75,0.00,0.00
67,250902,43.11,36.89,373.00,338.00,1.75,0.00,0.00
68,250909,39.20,40.80,334.00,343.00,1.75,0.00,0.00
69,250915,37.33,42.67,312.00,342.00,1.75,0.00,0.00
70,250923,36.36,43.64,297.00,338.00,1.75,0.00,0.00
71,250930,36.89,43.11,281.00,316.00,1.75,0.00,0.00
72,250937,36.89,43.11,282.00,317.00,1.75,0.00,0.00
73,250943,37.33,42.67,257.00,287.00,1.75,0.00,0.00
74,250950,39.11,40.89,267.00,277.00,1.75,0.00,0.00
75,250957,41.51,38.49,293.00,276.00,1.75,0.00,0.00
76,250964,44.27,35.73,323.00,275.00,1.75,0.00,0.00
77,250971,43.64,36.36,322.00,281.00,1.75,0.00,0.00
78,250978,42.22,37.78,328.00,303.00,1.75,0.00,0.00
79,250985,42.31,37.69,334.00,308.00,1.75,0.00,0.00
80,250992,44.98,35.02,344.00,288.00,1.75,0.00,0.00
81,250999,46.93,33.07,353.00,275.00,1.75,0.00,0.00
82,251006,48.53,31.47,357.00,261.00,1.75,0.00,0.00
83,251013,44.53,35.47,332.00,281.00,1.75,0.00,0.00
84,251020,42.40,37.60,322.00,295.00,1.75,0.00,0.00
85,251027,41.24,38.76,314.00,300.00,1.75,0.00,0.00
86,251034,37.96,42.04,302.00,325.00,1.75,0.00,0.00
87,251041,35.11,44.89,313.00,368.00,1.75,0.00,0.00
88,251047,32.35,47.65,326.00,412.00,1.75,0.00,0.00
89,251055,29.60,50.40,323.00,440.00,1.75,0.00,0.00
90,251062,31.11,48.89,329.00,429.00,1.75,0.00,0.00
91,251069,36.18,43.82,330.00,373.00,1.75,0.00,0.00
92,251075,39.47,40.53,359.00,365.00,1.75,0.00,0.00
93,251082,42.84,37.16,357.00,325.00,1.75,0.00,0.00
94,251089,44.62,35.38,356.00,304.00,1.75,0.00,0.00
95,251097,46.31,33.69,387.00,316.00,1.75,0.00,0.00
96,251104,43.82,36.18,389.00,346.00,1.75,0.00,0.00
97,251110,43.91,36.09,418.00,374.00,1.75,0.00,0.00
98,251117,41.16,38.84,403.00,390.00,1.75,0.00,0.00
99,251124,39.20,40.80,376.00,385.00,1.75,0.00,0.00
100,251131,36.53,43.47,352.00,391.00,1.75,0.00,0.00
101,251138,39.47,40.53,372.00,378.00,1.75,0.00,0.00
102,251145,42.93,37.07,386.00,353.00,1.75,0.00,0.00
103,251152,43.11,36.89,381.00,346.00,1.75,0.00,0.00
104,251159,46.31,33.69,387.00,316.00,1.75,0.00,0.00
105,251166,44.53,35.47,381.00,330.00,1.75,0.00,0.00
106,251173,42.76,37.24,386.00,355.00,1.75,0.00,0.00
107,251180,42.49,37.51,405.00,377.00,1.75,0.00,0.00
108,251187,39.73,40.27,379.00,382.00,1.75,0.00,0.00
109,251194,39.73,40.27,374.00,377.00,1.75,0.00,0.00
110,251200,44.00,36.00,393.00,348.00,1.75,0.00,0.00
111,251207,45.96,34.04,389.00,322.00,1.75,0.00,0.00
112,251214,46.31,33.69,378.00,307.00,1.75,0.00,0.00
113,251222,45.96,34.04,369.00,302.00,1.75,0.00,0.00
114,251229,44.62,35.38,342.00,290.00,1.75,0.00,0.00
115,251236,44.53,35.47,346.00,295.00,1.75,0.00,0.00
116,251243,43.02,36.98,361.00,327.00,1.75,0.00,0.00
117,251249,41.42,38.58,367.00,351.00,1.75,0.00,0.00
118,251256,42.13,37.87,366.00,342.00,1.75,0.00,0.00
119,251264,38.22,41.78,351.00,371.00,1.75,0.00,0.00
120,251271,38.31,41.69,323.00,342.00,1.75,0.00,0.00
121,251277,35.20,44.80,317.00,371.00,1.75,0.00,0.00
122,251284,36.53,43.47,333.00,372.00,1.75,0.00,0.00
123,251291,34.31,45.69,336.00,400.00,1.75,0.00,0.00
124,251298,40.36,39.64,409.00,405.00,1.75,0.00,0.00
125,251304,33.07,46.93,344.00,422.00,1.75,0.00,0.00
126,251312,32.18,47.82,333.00,421.00,1.75,0.00,0.00
127,251319,33.60,46.40,331.00,403.00,1.75,0.00,0.00
128,251326,34.75,45.25,330.00,389.00,1.75,0.00,0.00
129,251333,38.04,41.96,364.00,386.00,1.75,0.00,0.00
130,251339,37.51,42.49,360.00,388.00,1.75,0.00,0.00
131,251346,36.36,43.64,352.00,393.00,1.75,0.00,0.00
132,251354,36.44,43.56,374.00,414.00,1.75,0.00,0.00
133,251360,36.27,43.73,390.00,432.00,1.75,0.00,0.00
134,251367,36.00,44.00,392.00,437.00,1.75,0.00,0.00
135,251374,34.84,45.16,384.00,442.00,1.75,0.00,0.00
136,251381,34.58,45.42,384.00,445.00,1.75,0.00,0.00
137,251388,37.07,42.93,391.00,424.00,1.75,0.00,0.00
138,251395,34.75,45.25,391.00,450.00,1.75,0.00,0.00
139,251402,38.84,41.16,411.00,424.00,1.75,0.00,0.00
140,251409,41.69,38.31,424.00,405.00,1.75,0.00,0.00
141,251416,43.56,36.44,425.00,385.00,1.75,0.00,0.00
142,251422,44.44,35.56,436.00,386.00,1.75,0.00,0.00
143,251429,43.56,36.44,432.00,392.00,1.75,0.00,0.00
144,251437,39.56,40.44,404.00,409.00,1.75,0.00,0.00
145,251444,39.56,40.44,414.00,419.00,1.75,0.00,0.00
146,251450,36.71,43.29,413.00,450.00,1.75,0.00,0.00
147,251457,37.42,42.58,409.00,438.00,1.75,0.00,0.00
148,251464,37.96,42.04,399.00,422.00,1.75,0.00,0.00
149,251470,38.49,41.51,385.00,402.00,1.75,0.00,0.00
150,251478,38.93,41.07,364.00,376.00,1.75,0.00,0.00
151,251485,36.98,43.02,345.00,379.00,1.75,0.00,0.00
152,251492,34.75,45.25,322.00,381.00,1.75,0.00,0.00
153,251498,34.22,45.78,320.00,385.00,1.75,0.00,0.00
154,251505,33.78,46.22,328.00,398.00,1.75,0.00,0.00
155,251512,32.44,47.56,318.00,403.00,1.75,0.00,0.00
156,251520,31.29,48.71,294.00,392.00,1.75,0.00,0.00
157,251527,27.11,52.89,277.00,422.00,1.75,0.00,0.00
158,251534,29.51,50.49,292.00,410.00,1.75,0.00,0.00
159,251540,30.31,49.69,311.00,420.00,1.75,0.00,0.00
160,251547,31.47,48.53,328.00,424.00,1.75,0.00,0.00
161,251554,34.40,45.60,351.00,414.00,1.75,0.00,0.00
162,251561,32.80,47.20,339.00,420.00,1.75,0.00,0.00
163,251569,33.95,46.05,352.00,420.00,1.75,0.00,0.00
164,251575,34.75,45.25,336.00,395.00,1.75,0.00,0.00
165,251582,34.67,45.33,346.00,406.00,1.75,0.00,0.00
166,251589,36.53,43.47,348.00,387.00,1.75,0.00,0.00
167,251596,37.16,42.84,356.00,388.00,1.75,0.00,0.00
168,251602,40.09,39.91,349.00,348.00,1.75,0.00,0.00
169,251610,40.71,39.29,332.00,324.00,1.75,0.00,0.00
170,251617,44.53,35.47,331.00,280.00,1.75,0.00,0.00
171,251624,48.45,31.55,349.00,254.00,1.75,0.00,0.00
172,251631,48.18,31.82,375.00,283.00,1.75,0.00,0.00
173,251638,46.05,33.95,373.00,305.00,1.75,0.00,0.00
174,251644,43.91,36.09,366.00,322.00,1.75,0.00,0.00
175,251652,39.82,40.18,350.00,352.00,1.75,0.00,0.00
176,251659,40.36,39.64,343.00,339.00,1.75,0.00,0.00
177,251666,40.62,39.38,357.00,350.00,1.75,0.00,0.00
178,251672,40.27,39.73,349.00,346.00,1.75,0.00,0.00
179,251679,39.73,40.27,338.00,341.00,1.75,0.00,0.00
180,251686,37.60,42.40,329.00,356.00,1.75,0.00,0.00
181,251693,35.82,44.18,329.00,376.00,1.75,0.00,0.00
182,251700,36.09,43.91,335.00,379.00,1.75,0.00,0.00
183,251707,34.22,45.78,348.00,413.00,1.75,0.00,0.00
184,251714,37.87,42.13,368.00,392.00,1.75,0.00,0.00
185,251720,40.18,39.82,362.00,360.00,1.75,0.00,0.00
186,251727,38.67,41.33,327.00,342.00,1.75,0.00,0.00
187,251735,38.67,41.33,323.00,338.00,1.75,0.00,0.00
188,251742,37.69,42.31,312.00,338.00,1.75,0.00,0.00
189,251748,36.18,43.82,310.00,353.00,1.75,0.00,0.00
190,251755,37.51,42.49,329.00,357.00,1.75,0.00,0.00
191,251762,36.89,43.11,318.00,353.00,1.75,0.00,0.00
192,251768,36.27,43.73,314.00,356.00,1.75,0.00,0.00
193,251776,36.27,43.73,315.00,357.00,1.75,0.00,0.00
194,251783,34.75,45.25,326.00,385.00,1.75,0.00,0.00
195,251790,34.31,45.69,340.00,404.00,1.75,0.00,0.00
196,251797,35.02,44.98,340.00,396.00,1.75,0.00,0.00
197,251803,38.58,41.42,366.00,382.00,1.75,0.00,0.00
198,251810,38.93,41.07,354.00,366.00,1.75,0.00,0.00
199,251817,37.33,42.67,344.00,374.00,1.75,0.00,0.00
200,251824,38.93,41.07,348.00,360.00,1.75,0.00,0.00
201,251831,39.64,40.36,362.00,366.00,1.75,0.00,0.00
202,251838,40.71,39.29,387.00,379.00,1.75,0.00,0.00
203,251845,42.22,37.78,382.00,357.00,1.75,0.00,0.00
204,251851,42.58,37.42,377.00,348.00,1.75,0.00,0.00
205,251858,41.33,38.67,370.00,355.00,1.75,0.00,0.00
206,251866,38.49,41.51,343.00,360.00,1.75,0.00,0.00
207,251873,41.07,38.93,375.00,363.00,1.75,0.00,0.00
208,251880,38.84,41.16,391.00,404.00,1.75,0.00,0.00
209,251886,36.44,43.56,385.00,425.00,1.75,0.00,0.00
210,251893,34.84,45.16,395.00,453.00,1.75,0.00,0.00
211,251900,32.27,47.73,375.00,462.00,1.75,0.00,0.00
212,251908,32.80,47.20,377.00,458.00,1.75,0.00,0.00
213,251914,31.11,48.89,367.00,467.00,1.75,0.00,0.00
214,251921,29.78,50.22,345.00,460.00,1.75,0.00,0.00
215,251928,32.71,47.29,359.00,441.00,1.75,0.00,0.00
216,251935,34.22,45.78,364.00,429.00,1.75,0.00,0.00
217,251942,33.51,46.49,370.00,443.00,1.75,0.00,0.00
218,251950,29.87,50.13,342.00,456.00,1.75,0.00,0.00
219,251956,29.15,50.85,351.00,473.00,1.75,0.00,0.00
220,251963,25.95,54.05,329.00,487.00,1.75,0.00,0.00
221,251970,23.73,56.27,325.00,508.00,1.75,0.00,0.00
222,251977,22.66,57.34,311.00,506.00,1.75,0.00,0.00
223,251984,21.33,58.67,308.00,518.00,1.75,0.00,0.00
224,251991,22.49,57.51,308.00,505.00,1.75,0.00,0.00
225,251998,25.51,54.49,315.00,478.00,1.75,0.00,0.00
226,252005,25.78,54.22,308.00,468.00,1.75,0.00,0.00
227,252012,25.78,54.22,300.00,460.00,1.75,0.00,0.00
228,252019,29.07,50.93,326.00,449.00,1.75,0.00,0.00
229,252025,28.62,51.38,342.00,470.00,1.75,0.00,0.00
230,252033,30.49,49.51,357.00,464.00,1.75,0.00,0.00
231,252040,29.24,50.76,339.00,460.00,1.75,0.00,0.00
232,252047,32.44,47.56,382.00,467.00,1.75,0.00,0.00
233,252054,32.98,47.02,395.00,474.00,1.75,0.00,0.00
234,252060,31.91,48.09,403.00,494.00,1.75,0.00,0.00
235,252067,29.15,50.85,398.00,520.00,1.75,0.00,0.00
236,252075,31.20,48.80,417.00,516.00,1.75,0.00,0.00
237,252082,31.02,48.98,409.00,510.00,1.75,0.00,0.00
238,252089,30.04,49.96,399.00,511.00,1.75,0.00,0.00
239,252095,27.73,52.27,379.00,517.00,1.75,0.00,0.00
240,252102,26.58,53.42,382.00,533.00,1.75,0.00,0.00
241,252109,27.91,52.09,393.00,529.00,1.75,0.00,0.00
242,252116,29.69,50.31,404.00,520.00,1.75,0.00,0.00
243,252124,30.84,49.16,418.00,521.00,1.75,0.00,0.00
244,252130,32.44,47.56,415.00,500.00,1.75,0.00,0.00
245,252137,29.15,50.85,384.00,506.00,1.75,0.00,0.00
246,252144,26.40,53.60,360.00,513.00,1.75,0.00,0.00
247,252151,28.98,51.02,388.00,512.00,1.75,0.00,0.00
248,252158,29.15,50.85,370.00,492.00,1.75,0.00,0.00
249,252166,30.04,49.96,390.00,502.00,1.75,0.00,0.00
250,252172,29.15,50.85,388.00,510.00,1.75,0.00,0.00
251,252179,29.87,50.13,396.00,510.00,1.75,0.00,0.00
252,252186,25.86,54.14,388.00,547.00,1.75,0.00,0.00
253,252193,26.40,53.60,377.00,530.00,1.75,0.00,0.00
254,252200,22.58,57.42,376.00,572.00,1.75,0.00,0.00
255,252207,26.22,53.78,416.00,571.00,1.75,0.00,0.00
256,252214,24.44,55.56,417.00,592.00,1.75,0.00,0.00
257,252221,23.29,56.71,429.00,617.00,1.75,0.00,0.00
258,252228,26.49,53.51,452.00,604.00,1.75,0.00,0.00
259,252235,24.89,55.11,445.00,615.00,1.75,0.00,0.00
260,252241,23.46,56.54,455.00,641.00,1.75,0.00,0.00
261,252249,23.91,56.09,456.00,637.00,1.75,0.00,0.00
262,252256,23.11,56.89,483.00,673.00,1.75,0.00,0.00
263,252263,22.22,57.78,495.00,695.00,1.75,0.00,0.00
264,252270,20.80,59.20,486.00,702.00,1.75,0.00,0.00
265,252276,20.62,59.38,492.00,710.00,1.75,0.00,0.00
266,252283,20.53,59.47,481.00,700.00,1.75,0.00,0.00
267,252291,19.55,60.45,472.00,702.00,1.75,0.00,0.00
268,252298,17.42,62.58,447.00,701.00,1.75,0.00,0.00
269,252305,17.51,62.49,416.00,669.00,1.75,0.00,0.00
270,252311,16.97,63.03,423.00,682.00,1.75,0.00,0.00
271,252318,17.06,62.94,412.00,670.00,1.75,0.00,0.00
272,252325,17.95,62.05,416.00,664.00,1.75,0.00,0.00
273,252333,19.64,60.36,420.00,649.00,1.75,0.00,0.00
274,252340,22.31,57.69,431.00,630.00,1.75,0.00,0.00
275,252347,25.42,54.58,425.00,589.00,1.75,0.00,0.00
276,252353,28.18,51.82,435.00,568.00,1.75,0.00,0.00
277,252360,33.60,46.40,441.00,513.00,1.75,0.00,0.00
278,252367,32.35,47.65,411.00,497.00,1.75,0.00,0.00
279,252375,34.40,45.60,409.00,472.00,1.75,0.00,0.00
280,252381,36.27,43.73,422.00,464.00,1.75,0.00,0.00
281,252388,36.36,43.64,423.00,464.00,1.75,0.00,0.00
282,252395,37.60,42.40,429.00,456.00,1.75,0.00,0.00
283,252402,37.33,42.67,423.00,453.00,1.75,0.00,0.00
284,252408,37.69,42.31,433.00,459.00,1.75,0.00,0.00
285,252416,40.44,39.56,457.00,452.00,1.75,0.00,0.00
286,252423,39.82,40.18,451.00,453.00,1.75,0.00,0.00
287,252430,40.89,39.11,453.00,443.00,1.75,0.00,0.00
288,252436,39.73,40.27,463.00,466.00,1.75,0.00,0.00
289,252443,39.02,40.98,457.00,468.00,1.75,0.00,0.00
290,252450,36.09,43.91,446.00,490.00,1.75,0.00,0.00
291,252456,27.91,52.09,431.00,567.00,1.75,0.00,0.00
292,252464,20.62,59.38,414.00,632.00,1.75,0.00,0.00
293,252471,18.84,61.16,413.00,651.00,1.75,0.00,0.00
294,252478,12.89,67.11,401.00,706.00,1.75,0.00,0.00
295,252485,7.82,72.18,399.00,761.00,1.75,0.00,0.00
296,252491,5.86,74.14,387.00,771.00,1.75,0.00,0.00
297,252498,3.82,76.18,385.00,792.00,1.75,0.00,0.00
298,252506,3.82,76.18,393.00,800.00,1.75,0.00,0.00
299,252512,3.91,76.09,397.00,803.00,1.75,0.00,0.00
300,252519,1.24,78.76,371.00,807.00,1.75,0.00,0.00
301,252526,-0.81,80.81,353.00,812.00,1.75,0.00,0.00
302,252533,1.42,78.58,370.00,804.00,1.75,0.00,0.00
303,252539,1.60,78.40,368.00,800.00,1.75,0.00,0.00
304,252547,1.06,78.94,368.00,806.00,1.75,0.00,0.00
305,252554,1.86,78.14,361.00,790.00,1.75,0.00,0.00
306,252561,0.97,79.03,362.00,801.00,1.75,0.00,0.00
307,252567,-0.89,80.89,347.00,807.00,1.75,0.00,0.00
308,252574,2.04,77.96,368.00,795.00,1.75,0.00,0.00
309,252581,0.97,79.03,357.00,796.00,1.75,0.00,0.00
310,252589,2.13,77.87,360.00,786.00,1.75,0.00,0.00
311,252595,8.08,71.92,376.00,735.00,1.75,0.00,0.00
312,252602,12.44,67.56,391.00,701.00,1.75,0.00,0.00
313,252609,22.13,57.87,418.00,619.00,1.75,0.00,0.00
314,252616,21.15,58.85,437.00,649.00,1.75,0.00,0.00
315,252623,23.11,56.89,408.00,598.00,1.75,0.00,0.00
316,252630,28.80,51.20,404.00,530.00,1.75,0.00,0.00
317,252637,33.07,46.93,379.00,457.00,1.75,0.00,0.00
318,252644,34.75,45.25,359.00,418.00,1.75,0.00,0.00
319,252651,33.87,46.13,324.00,393.00,1.75,0.00,0.00
320,252657,40.00,40.00,354.00,354.00,1.75,0.00,0.00
321,252664,41.16,38.84,372.00,359.00,1.75,0.00,0.00
322,252672,42.84,37.16,384.00,352.00,1.75,0.00,0.00
323,252679,41.96,38.04,392.00,370.00,1.75,0.00,0.00
324,252686,41.07,38.93,378.00,366.00,1.75,0.00,0.00
325,252692,41.16,38.84,378.00,365.00,1.75,0.00,0.00
326,252699,42.04,37.96,367.00,344.00,1.75,0.00,0.00
327,252706,44.18,35.82,363.00,316.00,1.75,0.00,0.00
328,252713,40.98,39.02,366.00,355.00,1.75,0.00,0.00
329,252721,38.22,41.78,353.00,373.00,1.75,0.00,0.00
330,252727,33.51,46.49,340.00,413.00,1.75,0.00,0.00
331,252734,23.11,56.89,330.00,520.00,1.75,0.00,0.00
332,252741,19.02,60.98,338.00,574.00,1.75,0.00,0.00
333,252748,16.09,63.91,319.00,588.00,1.75,0.00,0.00
334,252755,12.71,67.29,344.00,651.00,1.75,0.00,0.00
335,252762,10.84,69.16,331.00,659.00,1.75,0.00,0.00
336,252769,5.95,74.05,323.00,706.00,1.75,0.00,0.00
337,252776,1.15,78.85,302.00,739.00,1.75,0.00,0.00
338,252783,-2.58,82.58,285.00,764.00,1.75,0.00,0.00
339,252789,-4.45,84.45,273.00,773.00,1.75,0.00,0.00
340,252796,-5.34,85.34,271.00,781.00,1.75,0.00,0.00
341,252804,-3.29,83.29,277.00,764.00,1.75,0.00,0.00
342,252811,-4.54,84.54,275.00,776.00,1.75,0.00,0.00
343,252818,-1.69,81.69,299.00,768.00,1.75,0.00,0.00
344,252824,3.20,76.80,337.00,751.00,1.75,0.00,0.00
345,252831,3.64,76.36,346.00,755.00,1.75,0.00,0.00
346,252838,7.37,72.63,368.00,735.00,1.75,0.00,0.00
347,252846,6.13,73.87,328.00,709.00,1.75,0.00,0.00
348,252852,6.93,73.07,318.00,690.00,1.75,0.00,0.00
349,252859,9.77,70.23,291.00,631.00,1.75,0.00,0.00
350,252866,15.37,64.63,316.00,593.00,1.75,0.00,0.00
351,252873,17.60,62.40,309.00,561.00,1.75,0.00,0.00
352,252879,26.75,53.25,305.00,454.00,1.75,0.00,0.00
353,252887,33.60,46.40,322.00,394.00,1.75,0.00,0.00
354,252894,40.98,39.02,356.00,345.00,1.75,0.00,0.00
355,252901,42.40,37.60,364.00,337.00,1.75,0.00,0.00
356,252908,43.02,36.98,372.00,338.00,1.75,0.00,0.00
357,252915,46.40,33.60,378.00,306.00,1.75,0.00,0.00
358,252921,46.49,33.51,387.00,314.00,1.75,0.00,0.00
359,252929,47.56,32.44,400.00,315.00,1.75,0.00,0.00
360,252936,46.31,33.69,404.00,333.00,1.75,0.00,0.00
361,252943,44.09,35.91,387.00,341.00,1.75,0.00,0.00
362,252950,39.91,40.09,356.00,357.00,1.75,0.00,0.00
363,252956,40.36,39.64,339.00,335.00,1.75,0.00,0.00
364,252963,37.07,42.93,315.00,348.00,1.75,0.00,0.00
365,252971,44.00,36.00,397.00,352.00,1.75,0.00,0.00
366,252978,35.64,44.36,330.00,379.00,1.75,0.00,0.00
367,252984,38.13,41.87,382.00,403.00,1.75,0.00,0.00
368,252991,30.04,49.96,336.00,448.00,1.75,0.00,0.00
369,252998,23.64,56.36,335.00,519.00,1.75,0.00,0.00
370,253005,19.02,60.98,335.00,571.00,1.75,0.00,0.00
371,253012,13.33,66.67,317.00,617.00,1.75,0.00,0.00
372,253019,8.53,71.47,302.00,656.00,1.75,0.00,0.00
373,253026,5.68,74.32,285.00,671.00,1.75,0.00,0.00
374,253033,2.31,77.69,279.00,703.00,1.75,0.00,0.00
375,253040,4.00,76.00,314.00,719.00,1.75,0.00,0.00
376,253046,6.31,73.69,347.00,726.00,1.75,0.00,0.00
377,253053,7.46,72.54,365.00,731.00,1.75,0.00,0.00
378,253061,8.26,71.74,371.00,728.00,1.75,0.00,0.00
379,253067,6.57,73.43,347.00,723.00,1.75,0.00,0.00
380,253074,8.80,71.20,348.00,699.00,1.75,0.00,0.00
381,253081,3.11,76.89,287.00,702.00,1.75,0.00,0.00
382,253088,0.97,79.03,253.00,692.00,1.75,0.00,0.00
383,253094,2.13,77.87,248.00,674.00,1.75,0.00,0.00
384,253102,6.48,73.52,289.00,666.00,1.75,0.00,0.00
385,253109,10.93,69.07,316.00,643.00,1.75,0.00,0.00
386,253116,16.00,64.00,343.00,613.00,1.75,0.00,0.00
387,253122,20.98,59.02,365.00,579.00,1.75,0.00,0.00
388,253129,25.06,54.94,368.00,536.00,1.75,0.00,0.00
389,253136,30.40,49.60,365.00,473.00,1.75,0.00,0.00
390,253144,34.13,45.87,361.00,427.00,1.75,0.00,0.00
391,253151,36.09,43.91,355.00,399.00,1.75,0.00,0.00
392,253157,35.91,44.09,342.00,388.00,1.75,0.00,0.00
393,253164,36.62,43.38,340.00,378.00,1.75,0.00,0.00
394,253171,36.27,43.73,327.00,369.00,1.75,0.00,0.00
395,253177,38.49,41.51,327.00,344.00,1.75,0.00,0.00
396,253185,40.18,39.82,341.00,339.00,1.75,0.00,0.00
397,253192,43.11,36.89,352.00,317.00,1.75,0.00,0.00
398,253199,44.71,35.29,357.00,304.00,1.75,0.00,0.00
399,253206,43.47,36.53,363.00,324.00,1.75,0.00,0.00
400,253212,40.53,39.47,348.00,342.00,1.75,0.00,0.00
401,253219,34.93,45.07,344.00,401.00,1.75,0.00,0.00
402,253227,26.93,53.07,326.00,473.00,1.75,0.00,0.00
403,253234,16.44,63.56,305.00,570.00,1.75,0.00,0.00
404,253241,11.82,68.18,284.00,601.00,1.75,0.00,0.00
405,253247,7.28,72.72,294.00,662.00,1.75,0.00,0.00
406,253254,7.46,72.54,318.00,684.00,1.75,0.00,0.00
407,253261,1.86,78.14,341.00,770.00,1.75,0.00,0.00
408,253267,4.80,75.20,349.00,745.00,1.75,0.00,0.00
409,253275,2.31,77.69,345.00,769.00,1.75,0.00,0.00
410,253282,-1.34,81.34,321.00,786.00,1.75,0.00,0.00
411,253289,-1.69,81.69,306.00,775.00,1.75,0.00,0.00
412,253296,-3.03,83.03,284.00,768.00,1.75,0.00,0.00
413,253302,-7.74,87.74,258.00,795.00,1.75,0.00,0.00
414,253309,-3.92,83.92,279.00,773.00,1.75,0.00,0.00
415,253317,-2.14,82.14,307.00,781.00,1.75,0.00,0.00
416,253324,0.35,79.65,329.00,775.00,1.75,0.00,0.00
417,253330,1.86,78.14,317.00,746.00,1.75,0.00,0.00
418,253337,5.51,74.49,318.00,706.00,1.75,0.00,0.00
419,253344,6.48,73.52,307.00,684.00,1.75,0.00,0.00
420,253351,9.42,70.58,302.00,646.00,1.75,0.00,0.00
421,253358,13.42,66.58,282.00,581.00,1.75,0.00,0.00
422,253365,22.04,57.96,298.00,500.00,1.75,0.00,0.00
